user_id	item_id	time
2177	3	965779200
4161	18	1068249600
4698	23	1073433600
10145	6	1075593600
3915	125	1082073600
1954	21	1082678400
10145	18	1085529600
13756	67	1097107200
1954	66	1097539200
9150	280	1100044800
3050	253	1103068800
11132	1086	1104192000
1924	220	1105574400
1924	223	1105574400
5043	285	1105660800
1954	964	1109289600
11132	249	1109721600
13045	873	1110326400
4982	220	1110499200
14607	125	1111795200
4698	164	1112659200
13045	229	1113350400
1924	7832	1114560000
11389	223	1120780800
14248	309	1120780800
4982	218	1121817600
4982	268	1122422400
11471	125	1124841600
891	201	1126051200
3984	121	1126569600
3984	204	1126569600
11403	29	1126742400
188	309	1126828800
4982	256	1126915200
11403	163	1128643200
7012	308	1130284800
3984	91	1130371200
4698	282	1130630400
4501	311	1132444800
3279	307	1132531200
4698	25	1133222400
5194	6978	1133308800
1626	311	1133913600
11026	164	1135209600
11661	406	1136073600
13675	218	1136764800
10429	39	1136937600
10905	253	1137024000
6384	149	1137110400
14239	153	1138406400
3219	103	1138492800
3219	104	1138492800
11558	306	1139443200
10544	306	1139702400
4131	305	1140220800
10708	309	1140480000
2624	174	1140652800
9971	408	1140652800
6610	6979	1140739200
11246	408	1140739200
5405	399	1141171200
3984	311	1141344000
3050	4	1141430400
1282	279	1141603200
1519	311	1141689600
823	258	1141776000
3060	426	1141776000
1519	408	1142035200
1993	408	1142294400
4471	182	1142467200
4471	664	1142467200
3693	125	1142640000
4471	663	1143158400
4698	203	1143331200
3173	43	1143849600
3577	888	1143936000
12811	222	1144627200
7323	3928	1144886400
5775	195	1145577600
2024	305	1146355200
14090	511	1146700800
12328	838	1146960000
1924	327	1147219200
6185	502	1149206400
7022	506	1149552000
4698	508	1149638400
4698	618	1149638400
1666	894	1149897600
6229	317	1150329600
2121	558	1150416000
12328	488	1150588800
10678	542	1150675200
14425	660	1151020800
4698	710	1151193600
6362	1346	1151452800
11118	1152	1151452800
6362	1347	1151539200
13861	966	1151712000
373	3269	1151884800
373	3474	1151884800
12328	1091	1151971200
13861	839	1151971200
6362	1352	1152057600
11132	564	1152057600
786	499	1152230400
13114	555	1152230400
13114	556	1152230400
373	749	1152489600
3676	693	1152489600
14008	1106	1152489600
1718	628	1152576000
2316	543	1152576000
9124	125	1152576000
1493	947	1152662400
6362	1349	1152662400
6618	749	1152662400
2466	125	1152748800
2466	309	1152748800
2466	457	1152748800
4741	975	1152748800
214	502	1152921600
2101	1107	1152921600
6618	1093	1153008000
9146	866	1153008000
2763	497	1153094400
3060	554	1153094400
3060	561	1153094400
2540	99	1153180800
3299	1146	1153180800
4589	1992	1153180800
14460	1074	1153267200
8999	944	1153353600
11558	497	1153353600
3699	305	1153440000
1662	3145	1153526400
12800	895	1153526400
3413	868	1153612800
3050	178	1153699200
12870	182	1153699200
14460	752	1153699200
13404	205	1153785600
4752	718	1153872000
1866	1187	1153958400
3549	885	1153958400
3308	502	1154131200
14460	1148	1154131200
1666	557	1154217600
5516	1086	1154217600
11652	379	1154217600
13346	531	1154217600
5412	1314	1154304000
6618	1084	1154304000
9148	222	1154390400
4698	117	1154476800
8867	888	1154476800
12329	518	1154476800
13699	1087	1154476800
7387	222	1154563200
9006	568	1154563200
1575	1098	1154649600
7130	622	1154649600
11998	487	1154649600
881	507	1154995200
4331	222	1155081600
14460	592	1155081600
1491	1151	1155168000
3210	125	1155168000
6632	579	1155168000
14618	222	1155168000
2920	222	1155254400
4131	493	1155254400
9148	311	1155340800
3308	500	1155427200
4131	520	1155427200
1464	805	1155513600
7130	805	1155513600
7809	471	1155686400
1575	279	1155772800
6102	879	1155772800
4409	502	1156032000
4698	1115	1156032000
6632	222	1156032000
4698	3152	1156118400
13683	879	1156118400
3338	729	1156204800
8066	306	1156204800
3502	879	1156291200
3638	1240	1156291200
3638	1241	1156291200
3638	1256	1156291200
3638	1257	1156291200
4698	499	1156291200
5219	564	1156291200
14035	993	1156291200
357	879	1156377600
3502	3064	1156377600
3638	1228	1156377600
13683	447	1156377600
14133	447	1156377600
3502	447	1156464000
5349	611	1156464000
11861	436	1156464000
5147	499	1156550400
8139	3146	1156550400
7385	3060	1156636800
8438	488	1156636800
9152	628	1156636800
14401	862	1156636800
3768	507	1156723200
7566	996	1156723200
5735	1087	1156809600
14676	499	1156809600
2872	947	1156982400
5735	1126	1156982400
5735	3064	1156982400
5735	3152	1156982400
6775	687	1156982400
2136	1187	1157068800
5735	447	1157155200
14008	1126	1157155200
10027	628	1157241600
1341	884	1157328000
4185	222	1157328000
12870	660	1157328000
12870	4235	1157328000
431	1266	1157414400
967	3107	1157414400
11132	565	1157414400
12870	673	1157414400
357	862	1157587200
4698	184	1157587200
11870	305	1157587200
14567	3481	1157673600
3638	1310	1157760000
9359	742	1157760000
3502	499	1157846400
5356	444	1157846400
1679	636	1157932800
1954	409	1158019200
1954	817	1158019200
3493	488	1158105600
6551	526	1158105600
3638	24	1158192000
3638	25	1158192000
12675	294	1158192000
12096	1439	1158278400
1954	163	1158537600
1954	923	1158537600
13803	222	1158624000
5425	529	1158796800
6973	3062	1158883200
14226	1150	1158883200
10707	3039	1159315200
11394	869	1159315200
6884	804	1159401600
12469	130	1159401600
12525	3109	1159401600
7414	1227	1159488000
11461	176	1159574400
8139	1054	1159660800
717	125	1159833600
7477	125	1159833600
3638	380	1159920000
4698	131	1159920000
10581	1150	1160006400
12849	809	1160006400
3672	218	1160092800
10816	693	1160265600
8378	869	1160438400
12611	805	1161043200
8986	3064	1161129600
10809	493	1161129600
4894	3260	1161302400
731	1265	1161388800
8712	1242	1161561600
4242	222	1161648000
4649	838	1161820800
5215	456	1161820800
700	895	1161907200
10809	751	1161907200
6775	3155	1161993600
2658	457	1162080000
8543	512	1162080000
12723	631	1162080000
13317	640	1162080000
14629	507	1162166400
11652	1092	1162252800
3439	779	1162339200
700	3071	1162425600
700	3243	1162425600
700	3247	1162425600
14495	4441	1162425600
3437	488	1162512000
4131	776	1162512000
1316	1009	1162598400
10160	679	1162598400
10216	4	1162598400
11279	305	1162598400
1954	969	1162684800
6618	1083	1162684800
7513	744	1162684800
11042	626	1162684800
12315	317	1162684800
13829	1309	1162684800
9239	364	1162771200
13987	791	1162771200
1954	809	1162944000
1954	3268	1162944000
1954	3272	1162944000
3439	778	1162944000
8143	961	1162944000
2136	1192	1163030400
2562	1087	1163030400
3959	681	1163030400
4565	309	1163030400
6219	378	1163030400
9014	499	1163030400
9029	731	1163030400
9155	125	1163030400
10009	529	1163030400
10327	593	1163030400
10622	1074	1163030400
10915	476	1163030400
12553	817	1163030400
12780	3130	1163030400
13171	1054	1163030400
13268	865	1163030400
14219	228	1163030400
14224	869	1163030400
14460	1100	1163030400
14460	1305	1163030400
14467	420	1163030400
2136	3245	1163116800
13308	125	1163116800
6902	239	1163289600
11725	1416	1163289600
7666	628	1163376000
13551	3240	1163376000
8594	839	1163462400
1954	722	1163548800
1954	729	1163548800
3622	66	1163548800
6502	1227	1163548800
9473	510	1163548800
12870	129	1163894400
10463	222	1163980800
11135	1048	1163980800
13747	496	1163980800
14460	764	1164153600
2024	1554	1164240000
3681	4050	1164240000
6266	250	1164240000
712	250	1164326400
2906	3499	1164326400
3439	3145	1164326400
4308	3061	1164412800
7187	1086	1164499200
9666	512	1164585600
9666	738	1164585600
1385	222	1164758400
10007	1338	1164844800
13441	3120	1164844800
55	1213	1164931200
4168	308	1164931200
5341	554	1164931200
6790	1056	1165017600
9067	886	1165017600
10448	1265	1165017600
6768	3926	1165190400
13627	1436	1165190400
11304	3139	1165276800
14460	767	1165276800
1954	253	1165363200
3437	893	1165363200
14592	3268	1165363200
7385	1313	1165622400
13414	457	1165622400
13598	504	1165795200
5174	1230	1165881600
7540	892	1165881600
11449	1425	1165881600
3384	3272	1165968000
9935	3232	1165968000
9855	125	1166054400
2144	496	1166140800
7144	577	1166140800
10027	758	1166140800
10129	812	1166140800
10317	3135	1166140800
5578	1454	1166313600
8137	850	1166400000
1556	204	1166572800
5674	333	1166572800
6649	577	1166572800
7773	3123	1166572800
10322	5365	1166572800
14460	248	1166572800
2491	773	1166659200
3308	1500	1166659200
4741	863	1166659200
3173	1316	1166745600
4555	638	1166745600
5701	1256	1166745600
1991	1314	1166918400
10809	3141	1167004800
9028	842	1167091200
10719	3175	1167091200
14305	966	1167091200
1044	1525	1167177600
11083	1554	1167177600
731	693	1167264000
968	1232	1167264000
5670	536	1167264000
7414	1108	1167264000
10428	1245	1167264000
12324	125	1167350400
8139	838	1167436800
12328	1241	1167436800
6775	3017	1167523200
8491	1248	1167523200
6775	3172	1167609600
1596	1425	1167696000
1596	3474	1167696000
4476	327	1167696000
6775	3023	1167696000
9087	222	1167696000
9160	435	1167696000
2149	368	1167782400
2204	3250	1167782400
2995	1150	1167782400
2995	3233	1167782400
5843	979	1167782400
6219	793	1167782400
6618	3268	1167782400
7540	1641	1167782400
7711	3268	1167782400
9970	522	1167782400
11147	796	1167782400
11354	1213	1167782400
12165	491	1167782400
13422	3057	1167782400
14170	125	1167782400
1463	788	1167868800
3638	2500	1167868800
3974	503	1167868800
4704	733	1167868800
7325	1009	1167868800
12823	838	1167868800
14567	697	1167868800
3341	522	1167955200
5634	513	1167955200
6817	1074	1167955200
10275	1086	1167955200
6618	1227	1168041600
10195	693	1168041600
3060	1260	1168128000
6618	681	1168128000
5906	522	1168214400
6775	849	1168214400
8305	432	1168214400
9588	1086	1168214400
52	931	1168300800
888	1011	1168300800
2160	449	1168300800
3073	1445	1168300800
3482	1229	1168300800
3557	564	1168300800
5549	1082	1168300800
5561	545	1168300800
5561	943	1168300800
5561	1227	1168300800
6618	699	1168300800
9078	1573	1168300800
9078	1575	1168300800
9078	3043	1168300800
10084	733	1168300800
10114	954	1168300800
10771	1053	1168300800
11729	3052	1168300800
11923	728	1168300800
14460	3268	1168300800
4371	1440	1168387200
4698	70	1168387200
8328	1227	1168387200
8426	898	1168387200
9666	932	1168387200
797	614	1168473600
2524	1139	1168473600
4698	81	1168473600
4698	82	1168473600
6049	203	1168473600
7785	736	1168473600
8424	698	1168473600
10633	441	1168473600
10767	786	1168473600
11276	3167	1168473600
13534	2876	1168473600
13535	1306	1168473600
2693	222	1168560000
2949	623	1168560000
7662	862	1168560000
13535	408	1168560000
786	1389	1168646400
5985	496	1168646400
5985	869	1168646400
5985	886	1168646400
5985	1053	1168646400
5985	1211	1168646400
5985	3554	1168646400
11926	578	1168646400
12328	618	1168646400
2822	1078	1168732800
3638	368	1168732800
3638	370	1168732800
3638	1336	1168732800
3975	969	1168732800
8003	3517	1168732800
8234	32	1168732800
8694	813	1168732800
8712	486	1168732800
14460	747	1168732800
4885	2935	1168819200
9382	866	1168819200
10468	3001	1168819200
11729	634	1168819200
12295	3144	1168819200
